,Nom_com
1415,Servilly
1416,Seuillet
1417,Sorbier
1418,Souvigny
1419,Sussat
1420,Target
1421,Taxat-Senat
1422,Teillet-Argenty
1423,Terjat
1424,Le Theil
1425,Theneuille
1426,Thiel-sur-Acolin
1427,Thionne
1428,Tortezais
1429,Toulon-sur-Allier
1430,Treban
1431,Treignat
1432,Treteau
1433,Trévol
1434,Trézelles
1435,Tronget
1436,Urçay
1437,Ussel-d'Allier
1439,Valigny
1440,Vallon-en-Sully
1441,Varennes-sur-Allier
1442,Varennes-sur-Tèche
1443,Vaumas
1444,Vaux
1446,Venas
1447,Vendat
1448,Verneix
1449,Le Vernet
1450,Verneuil-en-Bourbonnais
1451,Vernusse
1452,Le Veurdre
1453,Vichy
1454,Vicq
1455,Vieure
1456,Le Vilhain
1457,Villebret
1458,Villeneuve-sur-Allier
1459,Viplaix
1460,Voussac
1461,Ygrande
1462,Yzeure
1463,Aiglun
