SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01435;Versonnex;644;98;21;170;38022;236;6.4;2186
01436;Vesancy;108;29;1;0;41468;81;14.3;490
01437;Vescours;70;12;2;0;16682;47;8;250
01439;Vésines;23;6;1;0;21984;14;20.2;99
01441;Vieu-d'Izenave;192;28;6;21;21396;96;17.2;699
01443;Villars-les-Dombes;967;189;45;373;22560;993;13;4628
01444;Villebois;272;68;19;47;21050;167;11.2;1160
01445;Villemotier;209;19;6;3;20284;80;11.8;677
01446;Villeneuve;396;38;4;5;23432;181;13.5;1481
01447;Villereversure;278;52;10;43;19594;303;12.5;1275
01448;Villes;78;8;4;0;30878;58;19.2;365
01449;Villette-sur-Ain;196;33;8;0;24368;93;6.7;751
01450;Villieu-Loyes-Mollon;996;151;38;39;24058;479;12.5;3586
01451;Viriat;1487;269;69;317;22908;1209;12.9;6350
01452;Virieu-le-Grand;216;84;26;59;19086;172;11.4;1056
01453;Arvière-en-Valromey;118;25;9;15;N/A;157;11.2;716
01454;Virignin;301;56;14;45;20604;143;10.1;1089
01456;Vongnes;11;2;0;0;N/A;24;14.3;70
01457;Vonnas;723;132;34;164;19482;650;9.6;2929
02001;Abbécourt;119;37;9;2;18240;86;22.2;496
02002;Achery;160;34;11;0;20180;116;11.6;602
02003;Acy;248;49;12;14;20832;195;5;1008
02004;Agnicourt-et-Séchelles;32;16;5;0;16832;34;0;179
02005;Aguilcourt;98;10;2;0;21736;57;7.7;391
02006;Aisonville-et-Bernoville;43;19;2;1;20658;46;8;251
02007;Aizelles;19;6;3;0;23120;28;8.1;123
02008;Aizy-Jouy;86;18;3;0;18644;31;24.2;289
02009;Alaincourt;150;27;3;0;19682;111;16.5;546
02010;Allemant;50;14;5;0;18258;21;5.7;175
02011;Ambleny;267;67;20;15;21789;227;14.6;1162
02012;Ambrief;12;4;0;0;N/A;9;29;69
02013;Amifontaine;109;18;8;0;19240;60;2.4;413
02014;Amigny-Rouy;189;38;9;0;20718;105;8.1;741
02015;Ancienville;14;5;2;0;N/A;12;13.2;76
02016;Andelain;70;8;2;0;18714;31;4.3;234
02017;Anguilcourt-le-Sart;88;17;3;0;19486;44;12.8;313
02018;Anizy-le-Grand;600;184;54;121;N/A;523;11.1;2527
02019;Annois;77;30;6;0;18580;81;5.5;365
02020;Any-Martin-Rieux;117;30;3;1;18014;94;0;456
02021;Archon;19;6;0;0;N/A;20;0;89
02022;Arcy-Sainte-Restitue;89;23;4;0;18632;75;9.9;403
02023;Armentières-sur-Ourcq;24;7;0;0;20480;15;19;105
02024;Arrancy;10;7;3;0;N/A;16;0;53
